id_cliente,nome_cliente,sobrenome_cliente,nome_completo_cliente,email_cliente,telefone_cliente,ramal_cliente,genero_cliente,data_nascimento_cliente,data_cadastro_cliente,endereco_cliente,cidade_cliente,estado_cliente,pais_cliente,origem_cliente,idade_cliente
2e3d574b-57eb-4418-a778-9e84c7654689,Alan,Menezes,Alan Menezes,alan_menezes@1.com.br,(75) 9000-2424,3019.0,Masculino,1975-05-20,2021-10-30,639 Jennifer Creek,Salvador,Bahia,Brasil,Web,50
4375cc64-a523-46b9-a87b-a34e5be6c014,Flavia,Dias,Flavia Dias,flavia_dias@hotmail.com,(86) 0319-5667,4475.0,Feminino,1980-12-18,2022-09-29,52798 CALEB MEADOW APT. 352,Camaçari,Bahia,Brasil,Indicação,45
799232a9-ef75-4215-baeb-21e7a007d57c,Renan,Otero,Renan Otero,renan331@hotmail.com,(85) 2630-7452,,Masculino,1998-03-14,2023-01-06,71826 Timothy Mills,Joaquim Nabuco,Pernambuco,Brasil,Web,28
81d2afca-7f70-4906-acea-6a88b2609133,Hannah,Costa,Hannah Costa,hannah_costa@hotmail.com,(82) 0242-0982,544.0,Feminino,1967-09-09,2018-10-21,6952 Carol Hills Apt. 762,Goiânia,Goiás,Brasil,App,58
3711e720-6790-4915-9cda-a8759f7bf60d,Pedro,Quaresma,Pedro Quaresma,pedro_quaresma@gmail.com,(87) 8484-2580,49768.0,Masculino,1961-05-20,2023-12-19,923 Ryan Prairie,Guarulhos,São Paulo,Brasil,Web,64
84a527bb-a443-47b6-89b4-78c9d8b1550f,Wesley,Serrano,Wesley Serrano,wesley.serrano195@1.com,(87) 1570-2726,,Masculino,1999-08-12,2021-07-05,975 Roberts Grove Suite 836,São Paulo,São Paulo,Brasil,Web,26
d9f437ed-e8d7-4707-93cc-c82bf1adc593,Julia,Queiroz,Julia Queiroz,julia681@1.com,(81) 4411-3387,4007.0,Feminino,1990-01-31,2023-07-29,1511 Williams Ferry Suite 056,Marcelândia,Mato Grosso,Brasil,Web,36
bf2d0191-200c-47a1-b71c-e50204edc39e,Murilo,Evangelista,Murilo Evangelista,murilo266@hotmail.com,(19) 8558-5795,53928.0,Masculino,1979-04-19,2021-04-06,1277 Miranda Stream Suite 375,Sumaré,São Paulo,Brasil,App,47
a7696c15-38ff-475d-8e3b-63c8c288f0cc,Zelinda,Amorim,Zelinda Amorim,zelinda541@hotmail.com,(92) 3737-9066,47062.0,Feminino,1980-01-12,2021-08-28,91423 Richard Branch Apt. 837,Itupiranga,Pará,Brasil,App,46
b06ff84e-3a74-4996-8323-e9ebc2273e48,Maria,Garcia,Maria Garcia,mgarcia538@yahoo.com,(87) 3421-5907,,Feminino,1984-05-04,2022-05-30,9667 Butler Curve Suite 612,Mauá,São Paulo,Brasil,Web,42
08989252-01bd-4d64-bb0f-f94aa4ce3815,Denise,Martins,Denise Martins,denise316@yahoo.com,(91) 0106-6859,1865.0,Feminino,1983-09-19,2021-11-11,0570 Callahan Cape,Arapiraca,Alagoas,Brasil,Web,42
40a906db-855d-47bd-a34d-544d7827b8ce,Gerson,Prado,Gerson Prado,gerson.prado520@gmail.com,(86) 4176-1733,36090.0,Masculino,1997-04-21,2022-01-01,409 Ann Way,Paraibuna,São Paulo,Brasil,Web,29
bae5448e-6d53-4509-a106-a38899534f34,Carla,Queiroz,Carla Queiroz,carla_queiroz@hotmail.com,(69) 6410-6841,,Feminino,1962-03-20,2021-07-21,8604 Dawson Springs Apt. 253,Poxoréu,Mato Grosso,Brasil,Web,64
b4d756a5-1bdb-436b-ad36-18c55b3bac9c,Bernardo,Zampieri,Bernardo Zampieri,bernardo.zampieri175@yahoo.com,(15) 9876-2839,5214.0,Masculino,1998-11-29,2024-01-04,0424 Dixon Loop Apt. 776,Pingo-d'água,Minas Gerais,Brasil,Web,27
27dba3dd-b69d-4a54-bcf6-db2462594a63,Tadeu,Ferreira,Tadeu Ferreira,tadeu.ferreira@gmail.com,(87) 4629-2707,,Masculino,1980-03-04,2022-09-13,9752 Brady Expressway,Ipixuna,Amazonas,Brasil,Web,46
58c39f8e-4445-4ac4-8a1c-bb46a379bb51,Nicolas,Ferreira,Nicolas Ferreira,nicolas_ferreira@1.com.br,(89) 7372-6414,514.0,Masculino,1998-06-12,2019-06-21,1129 Owens Station,Itupiranga,Pará,Brasil,Web,27
0326f62f-ed1d-4235-9a8a-0583ee23f52d,Miguel,Ferreira,Miguel Ferreira,miguel_ferreira@,(89) 4414-8658,71458.0,Masculino,1974-07-12,2021-08-05,77201 Wells Glen Apt. 034,Mauá,São Paulo,Brasil,Indicação,51
494a0df9-9a52-4162-8409-c9c06504cd1d,Patricia,Domingues,Patricia Domingues,patricia.domingues385@yahoo.com,(88) 2516-3593,,Feminino,1975-03-12,2023-04-19,610 Lopez Ways,Nova Colinas,Maranhão,Brasil,Web,51
8197383f-e9eb-492b-b317-ad2e9303fc7a,Gerson,Pereira,Gerson Pereira,gpereira493@hotmail.com,(85) 4393-6131,,Masculino,2004-04-22,2021-03-16,5061 Jackson Union Apt. 119,Curitiba,Paraná,Brasil,Web,22
07777c4a-8163-478c-8fae-f7a7a0497d1f,Caio,Orozco,Caio Orozco,corozco203@yahoo.com,(93) 1853-3879,,Masculino,1994-09-22,2019-05-08,1145 Jones Track Suite 957,Saquarema,Rio De Janeiro,Brasil,Indicação,31
73e21cd9-e0e5-429e-918a-bfde56bc9c29,Paulo,Lopes,Paulo Lopes,paulo.lopes@gmail.com,(93) 3933-9738,3477.0,Masculino,2005-11-04,2022-02-04,63394 Jimenez Crossing Suite 333,Nossa Senhora De Nazaré,Piauí,Brasil,Indicação,20
9e074f6b-aa5d-4741-bd4f-32759a254156,Cristiano,Cavalcanti,Cristiano Cavalcanti,cristiano_cavalcanti@yahoo.com,(13) 4879-0633,916.0,Masculino,1982-02-18,2020-03-10,1384 Young Village Apt. 291,Tucuruí,Pará,Brasil,Web,44
3bfe3f46-23da-4874-a266-fdb9dce82c37,Veronica,Guimarães,Veronica Guimarães,veronica.guimaraes860@hotmail.com,(84) 8022-0755,955.0,Feminino,2003-02-17,2018-07-10,2064 Stafford Crest Apt. 227,Olinda,Pernambuco,Brasil,Web,23
06bad691-df33-4763-9f37-e833e514f69b,Yara,Andrade,Yara Andrade,yara_andrade@gmail.com,(91) 5872-0666,7251.0,Feminino,1979-06-18,2019-02-16,71406 Christopher Squares,Pedro De Toledo,São Paulo,Brasil,Web,46
626a8aa1-a1a3-4c97-a307-23cf32a808ad,Wagner,Vargas,Wagner Vargas,wagner506@yahoo.com,(71) 5211-2123,2783.0,Masculino,1992-03-16,2023-03-09,74525 Walton Alley Apt. 208,Atibaia,São Paulo,Brasil,Indicação,34
85051b9e-3cf2-4176-a27a-fa03af601a81,Francielly,Prado,Francielly Prado,francielly_prado@yahoo.com,(89) 8424-5738,8309.0,Feminino,1992-02-23,2020-03-28,014 Campos Viaduct Apt. 360,Maria Helena,Paraná,Brasil,App,34
68787ec2-3b03-41d5-b52d-fa89fc9f196d,Yasmin,Pereira,Yasmin Pereira,yasmin.pereira460@yahoo.com,(74) 1555-6901,86829.0,Feminino,1960-03-16,2022-09-29,13640 Pruitt Rue,Peabiru,Paraná,Brasil,App,66
45e44167-6803-4d9f-903b-f65b199fb1ff,Rafaela,Torres,Rafaela Torres,rafaela.torres@yahoo.com,(95) 2775-4892,862.0,Feminino,2006-12-25,2021-06-24,770 Lewis Court,Armazém,Santa Catarina,Brasil,Web,19
580f2567-f363-4d9a-be11-2c3330bf4b71,Miguel,Souza,Miguel Souza,miguel476@gmail.com,(86) 6067-8234,,Masculino,1978-09-22,2024-10-28,32496 Nathan Drive Apt. 968,São Paulo,São Paulo,Brasil,Web,47
