id_cliente,nome_cliente,sobrenome_cliente,nome_completo_cliente,email_cliente,telefone_cliente,genero_cliente,cidade_cliente,estado_cliente,pais_cliente,origem_cliente,data_cadastro_cliente,idade_cliente,total_pedidos,receita_total_cliente,ticket_medio_cliente,total_itens_comprados,data_primeira_compra,data_ultima_compra,recencia_dias,pedidos_entregues,pedidos_cancelados,pedidos_reembolsados,total_tickets,tickets_abertos,tickets_fechados,tempo_medio_resolucao_horas,nota_media_atendimento,data_ultimo_ticket,total_avaliacoes,nota_media_produto,nps_medio_cliente,taxa_recomendacao_cliente,data_ultima_avaliacao,total_sessoes,total_eventos,tempo_medio_pagina_seg,data_ultimo_evento,eventos_compra,eventos_add_carrinho,eventos_pageview,faixa_valor_cliente,cliente_ativo_90d
08989252-01bd-4d64-bb0f-f94aa4ce3815,Denise,Martins,Denise Martins,denise316@yahoo.com,(91) 0106-6859,Feminino,Arapiraca,Alagoas,Brasil,Web,2021-11-11,42,6,9342.27,1557.045,12,2023-11-18,2026-03-26,49.0,0,0,1,1,0,0,146.0,4.0,2026-03-28 20:11:00,2,4.5,8.5,1.00000,2026-04-19,3,3,186.66666666666666,2025-07-04 15:24:35,0,0,1,Alto Valor,True
21a1b1c8-7ebb-4546-a2c0-08d535d5a135,Amelia,Siqueira,Amelia Siqueira,amelia.siqueira130@hotmail.com,(89) 6307-8067,Feminino,Porto Ferreira,São Paulo,Brasil,Web,2022-12-28,49,6,2327.99,387.9983333333333,18,2023-05-15,2026-03-10,65.0,0,0,0,3,0,0,133.5,3.0,2026-03-31 23:11:00,2,5.0,9.0,1.00000,2026-03-27,7,7,196.85714285714286,2026-01-08 16:47:08,0,1,2,Alto Valor,True
903663ce-31dc-451d-afd3-71e49c44210d,Ulisses,Ortiz,Ulisses Ortiz,ulisses736@hotmail.com,(79) 2755-0047,Masculino,Jacareí,São Paulo,Brasil,Web,2022-04-24,45,4,10873.119999999999,2718.2799999999997,3,2024-01-12,2025-12-22,143.0,0,0,0,0,0,0,,,,3,3.0,6.333333333333333,0.66667,2026-01-03,4,4,277.0,2025-09-24 22:11:34,0,0,4,Alto Valor,False
93a7b32d-28fb-4781-a825-d20b195cab94,Fernanda,Miranda,Fernanda Miranda,fernanda_miranda@yahoo.com,(16) 5892-8192,Feminino,Sete Lagoas,Minas Gerais,Brasil,Web,2019-05-18,31,2,6126.12,3063.06,7,2023-08-08,2024-03-17,788.0,0,0,0,0,0,0,,,,2,2.5,9.0,1.00000,2024-05-13,7,7,291.57142857142856,2026-01-10 00:02:43,0,0,7,Alto Valor,False
b1b7c52d-e016-42d8-b5f7-7ec25defd534,Iris,Jesus,Iris Jesus,iris.jesus@hotmail.com,(93) 8172-1509,Feminino,Ilhéus,Bahia,Brasil,Web,2023-04-24,77,3,751.27,751.27,11,2023-05-03,2025-04-14,395.0,0,0,0,0,0,0,,,,2,3.5,5.5,0.50000,2025-02-05,8,8,366.75,2026-01-20 12:15:29,0,0,4,Medio Valor,False
cc5963b4-f9b3-4520-8df0-8796bfec5190,Xavier,Moreira,Xavier Moreira,xavier351@gmail.com,(84) 2908-2169,Masculino,Cajamar,São Paulo,Brasil,App,2023-01-03,53,7,7344.91,1049.2728571428572,12,2023-07-28,2026-05-07,7.0,0,0,0,0,0,0,,,,4,4.0,8.75,1.00000,2024-12-06,6,6,367.2,2025-09-10 20:17:21,0,0,2,Alto Valor,True
84e96d88-cd41-4335-ac1d-c0aa776db948,Barbara,Ribeiro,Barbara Ribeiro,bribeiro118@yahoo.com,(81) 6164-4621,Feminino,Uberaba,Minas Gerais,Brasil,Indicação,2023-05-31,36,4,10931.699999999999,2732.9249999999997,14,2024-09-03,2025-09-23,233.0,0,0,2,0,0,0,,,,2,2.5,5.5,0.50000,2025-11-21,8,8,169.42857142857142,2025-06-20 09:36:29,0,1,4,Alto Valor,False
c4d2ef01-2b24-4866-b7ba-563c230bd23f,Quirina,Xisto,Quirina Xisto,quirina_xisto@1.com.br,(95) 1238-4765,Feminino,Braço Do Norte,Santa Catarina,Brasil,Indicação,2021-04-12,27,10,12257.37,1225.737,28,2023-01-05,2025-06-20,328.0,0,0,0,2,0,0,88.0,4.0,2024-01-31 12:17:00,7,3.857142857142857,7.714285714285714,0.71429,2025-06-11,12,12,192.4,2025-12-16 19:46:35,1,2,5,Alto Valor,False
eeb12e34-b5a3-40c6-be93-a17dd3406240,Leandro,Santos,Leandro Santos,leandro.santos@yahoo.com,(94) 1503-6986,Masculino,São Pedro Da Aldeia,Rio De Janeiro,Brasil,App,2022-12-03,42,7,11818.91,1688.4157142857143,22,2024-04-13,2025-12-24,141.0,0,0,0,1,0,0,187.0,5.0,2025-12-04 03:15:00,4,4.0,8.25,0.75000,2025-06-07,6,6,256.6666666666667,2025-12-16 03:19:31,0,2,0,Alto Valor,False
8e4b2433-0d1d-49cc-a5bd-5f8f2353d80e,Wendell,Moreira,Wendell Moreira,wendell_moreira@gmail.com,(85) 4981-1397,Masculino,Lagoa Do Piauí,Piauí,Brasil,Indicação,2021-12-06,37,9,6294.74,699.4155555555556,30,2023-08-05,2026-03-09,66.0,0,0,0,0,0,0,,,,5,3.6,6.8,0.80000,2025-07-07,9,9,296.375,2026-03-22 07:37:42,0,3,5,Alto Valor,True
8b5912d7-be96-44ca-8ddb-73dd28223aeb,Miguel,Estrada,Miguel Estrada,miguel441@gmail.com,(91) 8593-7281,Masculino,São Paulo,São Paulo,Brasil,Indicação,2021-11-02,24,3,9062.18,3020.726666666667,8,2023-11-15,2024-05-28,716.0,0,0,0,0,0,0,,,,2,4.0,9.5,1.00000,2024-06-26,8,8,1027.875,2026-03-23 03:44:36,0,0,5,Alto Valor,False
3a9c9c94-3186-4515-a5b3-f3f38a4eadd4,Quezia,Pacheco,Quezia Pacheco,qpacheco393@yahoo.com,(75) 4707-2812,Feminino,Santo Ângelo,Rio Grande Do Sul,Brasil,Indicação,2019-08-22,8,7,11233.519999999999,1872.253333333333,20,2023-02-12,2026-02-27,76.0,0,0,0,0,0,0,,,,2,4.0,8.0,1.00000,2024-01-13,4,4,218.75,2026-03-13 00:21:28,0,0,2,Alto Valor,True
2fb63332-62d4-434a-90cb-fa491fea6f06,Xavier,Lima,Xavier Lima,xavier936@hotmail.com,(82) 1096-1465,Masculino,Araras,São Paulo,Brasil,App,2018-06-03,43,3,624.99,208.33,7,2024-09-01,2025-01-22,477.0,0,0,0,0,0,0,,,,2,5.0,9.5,1.00000,2025-02-16,5,5,499.25,2026-03-14 07:14:56,0,1,2,Medio Valor,False
c1f43f64-92a4-4516-9ab2-802b0cb7c0d9,Kevin,Duarte,Kevin Duarte,kevin.duarte@1.com.br,(81) 4133-8506,Masculino,Paraíba Do Sul,Rio De Janeiro,Brasil,Web,2018-12-29,32,9,8861.21,984.5788888888887,27,2023-06-20,2026-04-24,20.0,0,0,0,0,0,0,,,,5,4.0,7.6,0.80000,2026-05-13,10,10,306.625,2025-12-18 13:52:26,0,2,5,Alto Valor,True
b6360db7-eb2f-41e3-aa2a-a2f2d3aaff0a,Bruno,Campos,Bruno Campos,bruno.campos@gmail.com,(92) 2476-0347,Masculino,Santa Maria Da Boa Vista,Pernambuco,Brasil,Web,2023-08-01,30,6,21944.97,3657.4950000000003,15,2023-11-24,2025-10-21,205.0,0,0,0,0,0,0,,,,4,4.75,9.5,1.00000,2024-05-27,3,3,256.6666666666667,2025-09-01 18:03:23,1,1,1,Alto Valor,False
3a770043-fd03-4442-8416-d36d7dadf672,Leonora,Figueiredo,Leonora Figueiredo,leonora.figueiredo580@yahoo.com,(97) 5663-0899,Feminino,Macapá,Amapá,Brasil,Web,2022-06-15,46,4,2970.9100000000003,742.7275000000001,14,2023-01-12,2024-12-18,512.0,0,0,0,0,0,0,,,,3,4.333333333333333,9.333333333333334,1.00000,2025-02-08,8,8,273.57142857142856,2025-07-13 05:27:19,0,1,4,Alto Valor,False
cdf5c593-e43f-45a4-bf53-877cfc39a86b,Priscila,Coutinho,Priscila Coutinho,priscila.coutinho@gmail.com,(83) 2841-0940,Feminino,Óbidos,Pará,Brasil,App,2023-11-06,45,11,10290.390000000001,1143.3766666666668,32,2023-02-26,2025-05-03,376.0,0,0,0,2,0,0,165.5,3.5,2024-06-27 02:36:00,5,3.6,7.8,0.60000,2025-06-28,8,8,310.14285714285717,2026-03-06 11:07:04,0,1,5,Alto Valor,False
8df62bd8-98f8-44b9-8c25-4bbd3366e12e,Everton,Evangelista,Everton Evangelista,everton376@yahoo.com,(19) 1669-9964,Masculino,São Paulo,São Paulo,Brasil,App,2023-12-24,34,4,11124.689999999999,2781.1724999999997,16,2023-12-31,2025-09-24,232.0,0,0,1,2,0,0,43.5,2.0,2024-09-29 16:03:00,2,5.0,8.5,1.00000,2025-08-11,10,10,278.44444444444446,2025-10-28 06:50:39,0,1,7,Alto Valor,False
4dd88be0-62f1-4238-8dd7-a956aa22ce43,Renato,Tavares,Renato Tavares,renato841@yahoo.com,(97) 7772-6954,Masculino,Itapipoca,Ceará,Brasil,Web,2019-02-13,44,15,21825.420000000002,1678.8784615384616,38,2023-04-21,2026-05-06,8.0,0,0,1,0,0,0,,,,8,3.5,7.375,0.62500,2026-03-14,16,16,235.2,2025-11-22 00:10:15,1,2,7,Alto Valor,True
