id_cliente,nome_cliente,sobrenome_cliente,email_cliente,telefone_cliente,ramal_cliente,genero_cliente,data_nascimento_cliente,data_cadastro_cliente,endereco_cliente,cidade_cliente,estado_cliente,pais_cliente,origem_cliente
2e3d574b-57eb-4418-a778-9e84c7654689,Alan,Menezes,alan_menezes@1.com.br,(75) 9000-2424,3019,Masculino,1975-05-20,2021-10-30,639 Jennifer Creek,Salvador,Bahia,Brasil,Web
4375cc64-a523-46b9-a87b-a34e5be6c014,Flavia,Dias,flavia_dias@hotmail.com,(86) 0319-5667,4475,Feminino,1980-12-18,2022-09-29,52798 CALEB MEADOW APT. 352,Camaçari,Bahia,Brasil,Indicação
799232a9-ef75-4215-baeb-21e7a007d57c,Renan,Otero,renan331@hotmail.com,(85) 2630-7452,null,Masculino,1998-03-14,2023-01-06,71826 Timothy Mills,Joaquim Nabuco,Pernambuco,Brasil,Web
81d2afca-7f70-4906-acea-6a88b2609133,Hannah,Costa,hannah_costa@hotmail.com,(82) 0242-0982,544,Feminino,1967-09-09,2018-10-21,6952 Carol Hills Apt. 762,Goiânia,Goiás,Brasil,App
3711e720-6790-4915-9cda-a8759f7bf60d,Pedro,Quaresma,pedro_quaresma@gmail.com,(87) 8484-2580,49768,Masculino,1961-05-20,2023-12-19,923 Ryan Prairie,Guarulhos,São Paulo,Brasil,Web
84a527bb-a443-47b6-89b4-78c9d8b1550f,Wesley,Serrano,wesley.serrano195@1.com,(87) 1570-2726,null,Masculino,1999-08-12,2021-07-05,975 Roberts Grove Suite 836,São Paulo,São Paulo,Brasil,Web
d9f437ed-e8d7-4707-93cc-c82bf1adc593,Julia,Queiroz,julia681@1.com,(81) 4411-3387,4007,Feminino,1990-01-31,2023-07-29,1511 Williams Ferry Suite 056,Marcelândia,Mato Grosso,Brasil,Web
bf2d0191-200c-47a1-b71c-e50204edc39e,Murilo,Evangelista,murilo266@hotmail.com,(19) 8558-5795,53928,Masculino,1979-04-19,2021-04-06,1277 Miranda Stream Suite 375,Sumaré,São Paulo,Brasil,App
a7696c15-38ff-475d-8e3b-63c8c288f0cc,Zelinda,Amorim,zelinda541@hotmail.com,(92) 3737-9066,47062,Feminino,1980-01-12,2021-08-28,91423 Richard Branch Apt. 837,Itupiranga,Pará,Brasil,App
b06ff84e-3a74-4996-8323-e9ebc2273e48,Maria,Garcia,mgarcia538@yahoo.com,(87) 3421-5907,null,Feminino,1984-05-04,2022-05-30,9667 Butler Curve Suite 612,Mauá,São Paulo,Brasil,Web
08989252-01bd-4d64-bb0f-f94aa4ce3815,Denise,Martins,denise316@yahoo.com,(91) 0106-6859,1865,Feminino,1983-09-19,2021-11-11,0570 Callahan Cape,Arapiraca,Alagoas,Brasil,Web
40a906db-855d-47bd-a34d-544d7827b8ce,Gerson,Prado,gerson.prado520@gmail.com,(86) 4176-1733,36090,Masculino,1997-04-21,2022-01-01,409 Ann Way,Paraibuna,São Paulo,Brasil,Web
bae5448e-6d53-4509-a106-a38899534f34,Carla,Queiroz,carla_queiroz@hotmail.com,(69) 6410-6841,null,Feminino,1962-03-20,2021-07-21,8604 Dawson Springs Apt. 253,Poxoréu,Mato Grosso,Brasil,Web
b4d756a5-1bdb-436b-ad36-18c55b3bac9c,Bernardo,Zampieri,bernardo.zampieri175@yahoo.com,(15) 9876-2839,05214,Masculino,1998-11-29,2024-01-04,0424 Dixon Loop Apt. 776,Pingo-d'água,Minas Gerais,Brasil,Web
27dba3dd-b69d-4a54-bcf6-db2462594a63,Tadeu,Ferreira,tadeu.ferreira@gmail.com,(87) 4629-2707,null,Masculino,1980-03-04,2022-09-13,9752 Brady Expressway,Ipixuna,Amazonas,Brasil,Web
58c39f8e-4445-4ac4-8a1c-bb46a379bb51,Nicolas,Ferreira,nicolas_ferreira@1.com.br,(89) 7372-6414,514,Masculino,1998-06-12,2019-06-21,1129 Owens Station,Pará,Itupiranga,Brasil,Web
0326f62f-ed1d-4235-9a8a-0583ee23f52d,Miguel,Ferreira,miguel_ferreira@,(89) 4414-8658,71458,Masculino,1974-07-12,2021-08-05,77201 Wells Glen Apt. 034,Mauá,São Paulo,Brasil,Indicação
